year,state,county,temp_gs,pcpn_gs,TMAX_AVG_GS,PREC_GS,temp_diff,pcpn_diff,abs_temp_diff,abs_pcpn_diff
1951,17,1,24.46296296296296,549.1479999999999,24.51699453551912,548.9000000000001,-0.054031572556162644,0.24799999999981992,0.054031572556162644,0.24799999999981992
1952,17,1,26.740740740740744,537.2099999999999,26.758688524590166,537.1999999999999,-0.017947783849422194,0.009999999999990905,0.017947783849422194,0.009999999999990905
1953,17,1,27.157407407407405,324.866,27.18568306010929,325.28,-0.028275652701886145,-0.41399999999998727,0.028275652701886145,0.41399999999998727
1954,17,1,27.59259259259259,545.084,27.6092349726776,545.2399999999999,-0.016642380085009734,-0.15599999999994907,0.016642380085009734,0.15599999999994907
1955,17,1,27.64814814814815,601.7259999999999,27.69868852459016,601.6600000000001,-0.05054037644201159,0.06599999999980355,0.05054037644201159,0.06599999999980355
1956,17,1,27.03703703703704,436.118,27.069289617486344,436.32,-0.03225258044930257,-0.20199999999999818,0.03225258044930257,0.20199999999999818
1957,17,1,25.935185185185187,675.894,25.9851912568306,675.92,-0.05000607164541293,-0.025999999999953616,0.05000607164541293,0.025999999999953616
1958,17,1,25.203703703703702,718.5659999999999,25.251693989071047,718.42,-0.0479902853673444,0.14599999999995816,0.0479902853673444,0.14599999999995816
1959,17,1,26.85185185185185,462.534,26.90267759562841,462.25000000000006,-0.05082574377656002,0.28399999999993497,0.05082574377656002,0.28399999999993497
1960,17,1,25.96296296296296,636.0159999999998,25.98415300546448,636.3199999999999,-0.02119004250152301,-0.3040000000000873,0.02119004250152301,0.3040000000000873
1961,17,1,24.64814814814815,887.222,24.677213114754103,887.5200000000001,-0.029064966605954368,-0.2980000000001155,0.029064966605954368,0.2980000000001155
1962,17,1,26.36111111111111,469.8999999999999,26.4151912568306,470.18,-0.054080145719488826,-0.2800000000000864,0.054080145719488826,0.2800000000000864
1963,17,1,26.83333333333333,449.3259999999999,26.852459016393446,449.44,-0.019125683060117638,-0.11400000000008959,0.019125683060117638,0.11400000000008959
1964,17,1,26.71296296296296,574.548,26.744918032786885,574.3000000000001,-0.03195506982392615,0.2479999999999336,0.03195506982392615,0.2479999999999336
1965,17,1,25.63888888888889,782.5739999999998,25.684644808743165,782.13,-0.04575591985427607,0.4439999999998463,0.04575591985427607,0.4439999999998463
1966,17,1,24.77777777777777,590.042,24.832568306010938,590.05,-0.054790528233166214,-0.007999999999924512,0.054790528233166214,0.007999999999924512
1967,17,1,24.185185185185187,731.7740000000001,24.215901639344253,731.52,-0.030716454159065876,0.2540000000001328,0.030716454159065876,0.2540000000001328
1968,17,1,25.472222222222225,667.0039999999999,25.493060109289612,666.64,-0.020837887067386873,0.36399999999991905,0.020837887067386873,0.36399999999991905
1969,17,1,25.46296296296296,715.2639999999999,25.508961748633883,715.3999999999999,-0.04599878567092475,-0.13599999999996726,0.04599878567092475,0.13599999999996726
1970,17,1,25.90740740740741,1091.692,25.940928961748632,1091.73,-0.03352155434122395,-0.038000000000010914,0.03352155434122395,0.038000000000010914
1971,17,1,26.166666666666668,424.18,26.171748633879783,423.77,-0.00508196721311549,0.410000000000025,0.00508196721311549,0.410000000000025
1972,17,1,26.08333333333333,489.966,26.11469945355191,490.07,-0.03136612021858198,-0.103999999999985,0.03136612021858198,0.103999999999985
1973,17,1,24.88888888888889,876.046,24.912131147540983,875.73,-0.023242258652093284,0.3160000000000309,0.023242258652093284,0.3160000000000309
